	"X8294_w_01.isoforms.results"	"X8295_w_01.isoforms.results"	"X8296_w_01.isoforms.results"	"X8297_nos_01.isoforms.results"	"X8298_nos_01.isoforms.results"	"X8299_nos_01.isoforms.results"	"X8300_w_23.isoforms.results"	"X8301_w_23.isoforms.results"	"X8302_w_23.isoforms.results"	"X8303_nos_23.isoforms.results"	"X8304_nos_23.isoforms.results"	"X8305_nos_23.isoforms.results"
"FBtr0081624"	54.00	81.50	0.00	695.36	102.00	0.00	95.50	141.50	174.00	94.50	0.00	165.00
"FBtr0071763"	267.77	314.79	267.64	330.99	374.69	218.21	46.04	73.70	0.00	283.87	174.95	116.65
"FBtr0071764"	7.14	0.00	13.47	7.68	8.00	7.69	0.00	0.00	0.00	7.75	0.00	7.22
"FBtr0100521"	1484.18	885.11	768.09	746.34	620.32	959.55	237.96	115.30	158.00	241.50	434.48	288.40
"FBtr0342981"	14.90	19.10	32.80	0.00	0.00	7.54	0.00	0.00	0.00	39.87	7.58	19.74
"FBtr0083387"	0.00	0.00	0.00	0.00	0.00	0.00	17.45	15.15	0.00	0.00	0.00	0.00
"FBtr0083388"	16.77	20.32	0.00	8.00	0.34	3.81	53.38	59.86	95.72	27.53	10.24	16.25
"FBtr0300485"	0.00	3.83	18.68	0.00	0.00	10.19	5.57	33.97	99.22	5.47	0.00	0.21
"FBtr0306337"	29.23	7.84	14.32	0.00	11.66	0.00	108.60	154.02	119.06	0.00	14.76	12.54
"FBtr0083381"	0.00	0.00	0.00	20.55	16.07	8.40	3.10	0.00	26.67	49.06	43.88	74.51
"FBtr0083382"	13.46	0.00	10.37	0.00	32.60	83.80	0.00	41.03	0.00	73.19	100.71	112.36
"FBtr0083383"	0.00	0.00	0.00	0.00	0.00	4.02	3.27	0.00	0.00	0.00	5.54	0.00
"FBtr0083384"	21.26	0.00	0.00	60.19	21.12	18.88	62.32	0.00	0.00	247.27	0.00	135.36
"FBtr0083385"	0.00	0.00	2.37	0.00	0.00	0.00	0.00	0.00	0.00	10.29	0.00	20.50
"FBtr0330709"	0.00	0.00	0.00	0.00	0.00	4.02	3.27	0.00	0.00	0.00	5.54	0.00
"FBtr0346764"	0.00	0.00	0.00	0.00	0.00	4.02	3.27	0.00	0.00	0.00	5.54	0.00
"FBtr0415463"	0.00	29.21	20.56	0.00	110.41	116.83	92.76	213.10	242.90	160.90	629.99	244.46
"FBtr0415464"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	59.68	0.00	0.00
"FBtr0415465"	5.28	3.79	2.70	4.26	9.80	10.04	23.01	23.87	38.43	33.60	45.78	45.81
"FBtr0075357"	2450.06	1643.21	1514.32	1174.27	858.39	478.80	1875.60	1803.17	1447.43	925.92	930.90	1528.29
"FBtr0112790"	850.32	669.26	456.60	734.79	861.45	578.71	890.89	913.89	928.30	994.88	1063.56	1167.75
"FBtr0330130"	151.03	268.14	234.80	0.08	54.33	21.22	338.90	220.53	99.73	8.51	145.17	1.93
"FBtr0330131"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330132"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330133"	133.92	0.00	0.00	253.69	123.44	277.36	1.93	3.20	20.48	240.42	67.48	269.75
"FBtr0330134"	1.23	0.00	0.00	1.50	0.00	1.94	0.00	0.00	0.00	7.78	22.51	0.48
"FBtr0330135"	1983.68	1236.70	1141.24	1564.34	1584.94	2008.44	1631.39	1302.34	1317.85	1950.35	2007.92	2150.60
"FBtr0330136"	525.62	0.00	0.00	385.33	190.31	823.12	181.79	80.86	213.12	430.47	483.40	174.43
"FBtr0345369"	0.12	143.69	290.04	0.00	0.12	508.42	0.50	0.00	0.08	192.66	241.05	104.77
"FBtr0080168"	825.00	797.00	665.00	482.00	556.00	629.00	276.00	243.00	221.00	356.00	384.00	348.00
"FBtr0070072"	23.00	20.00	25.00	33.00	66.00	57.00	175.00	163.00	206.00	193.00	240.00	195.00
"FBtr0082780"	26.02	2.21	51.18	0.00	2.06	12.17	29.00	31.35	33.09	10.17	21.85	31.83
"FBtr0300486"	0.00	3.86	5.82	4.92	1.94	0.83	0.00	4.65	1.91	6.83	6.15	12.17
"FBtr0335223"	3.98	5.94	0.00	1.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0074015"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100326"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100328"	0.00	1.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	3.96
"FBtr0290063"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290064"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305189"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305190"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305191"	0.00	0.00	4.00	9.00	0.00	7.00	5.00	6.00	13.00	21.00	28.00	21.04
"FBtr0305192"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305193"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305194"	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305195"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305196"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085609"	2775.23	2714.89	2438.28	1587.85	1853.32	2101.75	1457.83	1271.92	904.00	1523.09	1518.47	1350.56
"FBtr0085610"	57.77	40.11	86.72	68.15	43.68	15.25	31.17	45.08	0.00	17.91	62.53	26.44
"FBtr0084619"	0.04	0.83	2.50	0.00	0.50	2.98	0.25	0.00	0.00	1.05	1.92	2.86
"FBtr0330310"	0.04	0.83	2.50	0.00	0.50	2.98	0.25	0.00	0.00	1.05	1.92	2.86
"FBtr0334916"	12.92	3.33	28.00	0.00	0.00	15.05	25.50	55.00	29.00	7.89	5.16	15.29
"FBtr0072367"	6.00	5.00	19.00	1.00	0.00	4.00	14.00	12.00	21.00	2.00	20.00	0.00
"FBtr0072368"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.00
"FBtr0073299"	29.00	26.00	42.00	6.00	3.00	33.00	49.91	63.95	48.00	16.00	27.00	19.00
"FBtr0073300"	0.00	0.00	0.00	0.00	0.00	1.00	2.09	1.05	0.00	0.00	0.00	0.00
"FBtr0084639"	2.00	0.00	0.00	0.00	0.00	6.00	0.00	0.00	16.00	2.00	2.00	0.00
"FBtr0084640"	0.00	2.00	12.00	0.00	0.00	0.00	11.00	13.00	0.00	0.00	0.00	10.00
"FBtr0070822"	19740.96	11085.53	6570.49	26758.83	23197.19	25597.71	0.06	0.00	0.00	20160.83	19054.88	16544.12
"FBtr0070823"	18377.85	15679.97	13388.15	13482.76	12403.21	14646.13	20084.99	24315.23	24421.74	17276.52	21520.50	23485.06
"FBtr0100662"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100663"	27041.19	33810.50	32636.36	9287.41	21725.17	22272.27	53895.00	61040.73	66229.26	36480.37	51337.05	46808.46
"FBtr0345894"	0.00	0.00	0.00	0.00	3.43	6.88	7.96	4.04	0.00	7.28	3.57	11.36
"FBtr0086029"	6777.00	6674.00	5694.00	5345.00	6299.00	7311.00	9219.00	10744.00	11315.00	10094.00	12872.00	11620.00
"FBtr0071519"	1699.00	547.07	2404.00	228.00	133.00	2545.00	2581.00	2443.00	3332.00	2125.00	1241.00	2832.00
"FBtr0078478"	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	3.00	1.00	2.00
"FBtr0334090"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
"FBtr0082785"	137.00	76.00	156.08	88.00	148.00	322.41	485.62	427.66	557.70	487.38	540.67	591.32
"FBtr0082786"	0.00	0.00	0.00	0.00	0.00	0.00	5.38	0.00	0.00	5.48	6.20	0.00
"FBtr0346242"	0.00	0.00	17.92	0.00	0.00	27.59	0.00	46.34	31.30	8.14	38.14	65.68
"FBtr0083143"	0.00	0.00	0.00	0.00	1.00	0.00	5.00	0.00	1.00	1.00	0.00	2.00
"FBtr0079219"	1066.49	750.69	772.33	1437.02	1520.62	1842.93	327.44	160.35	99.60	626.29	1003.52	626.54
"FBtr0079220"	1612.28	1404.31	775.32	1056.98	938.38	1123.89	138.55	196.65	198.40	528.19	433.48	541.65
"FBtr0079221"	55.23	0.00	87.35	0.00	0.00	92.18	0.01	0.00	0.00	174.51	0.00	75.81
"FBtr0079431"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100353"	247.68	145.63	119.09	461.95	499.26	618.53	140.37	215.20	199.86	507.25	594.71	528.41
"FBtr0339663"	1025.32	842.37	788.91	461.05	522.74	689.47	572.63	548.80	491.14	449.75	473.29	410.59
"FBtr0100589"	7334.24	7710.05	6591.72	5446.86	5708.85	6329.03	224.35	118.93	127.56	761.35	918.61	557.38
"FBtr0100590"	859.17	595.61	1033.83	339.20	420.67	509.17	449.65	1148.84	1363.39	84.19	71.10	124.65
"FBtr0100591"	24.67	35.36	39.74	14.30	39.14	35.60	0.00	16.57	0.00	4.62	0.00	0.00
"FBtr0100593"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.12	0.01	17.99	7.78
"FBtr0100594"	133.24	149.62	120.98	62.33	56.20	112.60	0.00	7.31	0.00	3.99	11.62	7.46
"FBtr0006151"	24.67	35.36	39.74	14.30	39.14	35.60	0.00	16.57	0.00	4.62	0.00	0.00
"FBtr0100187"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.12	0.01	17.99	7.78
"FBtr0343699"	0.00	0.00	0.00	0.00	0.00	0.00	10.00	3.77	4.81	16.20	16.69	10.95
"FBtr0086744"	108.96	36.70	0.00	43.04	0.00	41.98	38.05	0.00	0.00	0.00	0.00	37.56
"FBtr0340288"	1718.04	1653.30	1188.00	1249.96	1443.00	1558.02	587.95	509.00	463.00	1005.00	984.00	777.44
"FBtr0078053"	3.00	3.00	15.00	14.00	5.00	23.00	12.00	14.00	6.00	44.00	40.00	42.00
"FBtr0083478"	1583.00	1339.00	1105.00	987.35	1076.73	1166.89	177.00	175.00	182.00	438.00	457.17	311.00
"FBtr0331348"	0.00	0.00	0.00	10.65	22.27	27.11	0.00	0.00	0.00	0.00	8.83	0.00
"FBtr0084994"	57.17	42.27	246.95	0.00	0.00	55.49	181.34	333.67	300.66	45.19	82.62	123.10
"FBtr0084995"	3747.82	2559.52	2446.57	2693.59	2633.90	3104.86	2363.30	2295.59	2415.96	2160.45	2384.36	2118.12
"FBtr0084999"	5.53	5.46	21.52	5.81	2.43	7.34	10.36	20.26	15.57	21.90	2.28	0.00
"FBtr0085000"	0.00	0.00	4.85	0.00	4.19	4.94	0.00	0.00	4.93	0.00	9.10	23.82
"FBtr0085001"	89.56	96.79	91.02	51.19	73.41	80.96	69.24	137.48	55.32	116.90	136.07	73.89
"FBtr0114544"	0.00	0.00	0.00	0.00	0.04	0.00	0.00	5.27	0.71	10.60	0.00	0.02
"FBtr0306657"	33.53	23.36	72.06	17.27	37.63	77.00	56.07	23.97	50.36	20.11	41.57	48.17
"FBtr0310660"	46.17	51.19	42.80	96.94	145.56	104.90	32.36	84.92	56.02	133.57	113.91	134.09
"FBtr0310661"	564.39	268.60	593.72	43.68	0.00	0.00	354.62	507.45	668.02	104.02	0.00	0.04
"FBtr0339614"	3033.83	3084.82	2645.52	2718.52	3521.84	3925.50	2377.70	2160.41	1978.45	3389.25	4294.09	3425.75
"FBtr0081618"	5.69	5.93	2.98	6.49	36.00	41.32	122.67	104.18	119.06	118.24	219.36	181.21
"FBtr0081619"	339.84	380.49	218.04	625.69	1366.04	1391.55	3042.58	4557.97	5948.51	3906.17	6337.35	4634.86
"FBtr0081620"	65.47	115.58	36.98	137.82	232.96	369.12	653.75	989.85	1500.43	1057.58	1497.29	890.92
"FBtr0081153"	0.00	0.00	0.00	0.00	0.00	9.66	21.12	0.00	5.84	4.68	0.00	13.52
"FBtr0081154"	16.00	15.00	10.00	10.00	44.00	79.34	167.88	195.00	245.16	130.32	135.00	161.48
"FBtr0071331"	66.86	106.95	117.91	82.10	64.48	38.13	40.99	28.14	9.37	45.64	75.36	46.73
"FBtr0307281"	842.14	760.05	613.09	576.90	693.52	745.87	323.01	305.86	302.63	520.36	542.64	507.27
"FBtr0086983"	80.41	61.56	375.59	2.99	14.33	9.82	19.02	102.35	76.20	23.30	97.66	59.50
"FBtr0087004"	60.59	0.00	0.00	9.01	3.67	6.18	17.98	51.59	37.71	15.70	0.00	74.50
"FBtr0345521"	0.00	59.44	238.41	0.00	0.00	0.00	0.00	22.06	5.09	0.00	57.34	0.00
"FBtr0089517"	123.49	86.51	74.86	50.73	35.64	64.28	68.89	94.64	152.78	26.14	75.85	50.91
"FBtr0089518"	874.42	772.67	680.53	786.72	756.67	776.17	641.06	638.40	675.65	645.81	871.42	623.15
"FBtr0089519"	614.78	741.34	577.51	983.51	1306.58	1267.52	1111.58	1190.56	1260.70	1924.24	2685.37	2561.42
"FBtr0089520"	44.11	29.45	15.48	11.44	18.80	29.60	36.30	37.00	51.76	21.89	28.81	30.81
"FBtr0336797"	0.00	0.00	0.00	0.00	0.00	0.00	13.37	0.00	0.00	0.00	0.00	13.05
"FBtr0336798"	132.21	92.03	144.62	176.61	196.31	367.43	105.81	224.39	151.11	263.92	391.55	219.66
"FBtr0070025"	1171.59	860.74	691.69	910.53	1069.80	952.45	146.00	65.00	38.22	277.36	250.77	130.25
"FBtr0301931"	209.92	232.26	111.31	144.47	157.20	129.55	0.00	21.00	36.78	9.64	13.23	31.75
"FBtr0070504"	4.00	0.00	2.00	1.00	1.00	1.00	12.00	15.00	23.00	8.00	11.00	8.00
"FBtr0085611"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346141"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077850"	3006.80	2596.94	2616.30	2365.35	2437.94	3122.83	1852.73	1937.98	1762.42	2624.43	2944.75	2500.23
"FBtr0077851"	149.32	189.93	53.26	156.05	288.50	446.81	798.77	1098.77	1255.73	1106.17	1631.46	1342.46
"FBtr0330658"	54.24	56.64	52.83	70.75	0.00	19.00	18.86	28.99	68.33	17.98	0.00	35.69
"FBtr0330659"	6.36	0.00	6.26	18.85	23.56	18.36	22.64	59.26	40.51	29.42	33.79	47.62
"FBtr0330660"	1023.28	384.48	259.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078481"	31035.38	30203.31	25621.33	23315.92	27634.83	27254.31	34751.47	41321.40	44032.02	32245.78	38966.14	35415.69
"FBtr0334113"	385.62	376.69	374.67	358.08	315.17	236.69	245.53	369.60	356.98	241.22	293.86	261.31
"FBtr0070109"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307291"	30.91	0.00	50.77	0.00	0.00	36.01	58.33	56.64	71.80	14.03	10.98	28.76
"FBtr0307292"	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
"FBtr0307293"	20.44	8.33	39.35	27.50	6.21	0.00	12.47	28.03	0.00	9.04	2.05	0.00
"FBtr0307294"	19.60	46.81	55.94	34.50	23.59	67.88	26.95	84.44	31.04	65.93	75.93	50.04
"FBtr0307295"	36.05	19.87	30.93	0.00	6.21	23.11	25.25	8.89	43.16	0.00	2.05	20.20
"FBtr0089420"	507.74	526.50	466.96	374.95	577.69	461.23	550.82	639.30	623.49	555.12	787.53	650.22
"FBtr0346440"	8.09	15.55	0.00	7.42	7.31	22.63	16.48	8.55	43.76	30.30	59.99	33.09
"FBtr0346441"	10.17	9.95	5.04	26.63	0.00	16.13	4.69	18.14	18.75	30.57	46.48	14.69
"FBtr0080344"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080345"	339.53	319.23	220.22	360.23	405.35	427.26	21.57	19.35	0.00	162.26	115.89	33.32
"FBtr0080347"	0.00	2.06	1.99	0.00	7.55	7.29	0.00	0.00	2.11	0.00	2.41	4.44
"FBtr0300567"	21014.71	16817.72	14154.52	14100.08	14320.24	16582.84	937.62	512.27	404.61	3275.42	3092.49	1605.85
"FBtr0331644"	27.55	23.16	36.88	27.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331645"	9.19	0.00	18.45	29.41	26.15	36.24	8.92	4.50	8.81	19.37	4.93	18.52
"FBtr0331646"	6236.54	7072.27	6386.20	5277.33	8115.88	7069.80	462.97	232.30	147.29	1653.58	2228.10	752.79
"FBtr0331647"	48.31	22.56	0.00	9.94	51.86	57.56	14.92	13.68	3.37	22.28	17.16	28.18
"FBtr0331648"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.70	4.55	0.00	0.00	0.00
"FBtr0331998"	87.17	0.00	21.73	235.29	458.97	630.01	0.00	43.21	39.26	209.09	306.03	236.89
"FBtr0075517"	1244.00	1337.00	1083.00	1021.00	1247.00	1316.00	1233.00	1375.00	1374.00	1480.00	1791.00	1433.00
"FBtr0076543"	5.00	0.00	40.53	0.00	0.00	10.64	8.59	27.68	17.84	0.00	0.00	0.00
"FBtr0076544"	1005.55	1376.79	891.72	3687.38	3706.48	4000.48	73.88	39.58	21.41	576.79	613.20	337.01
"FBtr0076545"	238.73	89.19	205.28	203.51	77.08	511.54	170.75	295.26	322.68	399.96	374.76	263.79
"FBtr0076546"	16.89	9.28	37.17	23.55	0.00	88.92	43.28	10.98	30.14	70.48	87.83	85.24
"FBtr0112791"	0.00	7.14	5.92	0.00	0.00	0.00	16.87	15.88	16.69	0.00	0.00	10.13
"FBtr0331550"	0.00	2.82	16.96	4.40	5.61	2.06	0.00	44.44	12.44	18.50	12.13	12.11
"FBtr0345030"	108.83	239.77	135.42	1023.16	832.84	845.36	32.63	126.18	288.80	306.26	417.09	216.73
"FBtr0089988"	349.82	197.32	215.77	310.14	250.90	241.70	672.43	1004.66	1220.57	518.23	959.04	1069.64
"FBtr0089989"	967.94	994.97	561.72	189.26	472.81	505.02	2402.46	3265.55	3766.39	1874.22	2640.89	2357.23
"FBtr0089990"	159.47	64.11	200.94	542.69	568.93	869.52	386.09	313.47	253.71	819.09	962.03	776.23
"FBtr0089991"	11535.47	9658.47	7779.10	8792.41	8923.13	11430.17	16406.18	18051.75	19761.52	15804.02	18417.17	18441.87
"FBtr0089992"	2209.29	2050.12	1573.47	1635.91	1509.14	2458.40	3554.89	4247.04	4586.38	3533.66	4719.83	3729.53
"FBtr0332583"	0.00	0.00	0.00	14.58	15.09	28.20	36.94	85.53	38.43	28.78	57.04	88.49
"FBtr0087702"	2209.00	1574.00	1534.00	1425.00	1456.00	1852.00	1754.00	1557.00	1515.00	2131.00	2391.00	2447.00
"FBtr0081030"	5.00	0.00	13.00	0.00	0.00	0.00	8.00	11.00	10.00	0.00	1.00	0.00
"FBtr0307350"	0.00	0.00	0.00	0.00	0.00	2.24	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0340229"	0.00	3.00	0.00	0.00	0.00	0.76	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076599"	4.00	0.00	3.00	1.00	3.00	4.00	5.00	3.00	7.00	23.00	31.00	16.00
"FBtr0070075"	5.00	6.00	4.00	22.00	34.00	69.00	35.00	74.00	97.00	140.00	153.00	135.00
"FBtr0084659"	60.38	35.52	43.21	15.23	8.06	7.79	13.90	40.07	6.55	14.67	14.14	34.64
"FBtr0084660"	1396.63	1286.66	1079.70	1047.73	1298.20	1362.23	1769.34	1889.26	2064.26	1739.61	2230.48	1958.00
"FBtr0306171"	88.99	101.82	103.10	105.04	143.73	96.97	290.77	314.67	318.19	167.73	308.38	217.36
"FBtr0084692"	10298.00	7920.00	7079.00	6554.00	6360.00	8452.00	3369.00	3140.00	3245.00	3400.00	4582.00	3717.00
"FBtr0080165"	2653.63	2446.55	2231.92	1536.00	1631.39	1966.55	2543.00	2523.48	2172.09	1809.77	2148.25	2183.71
"FBtr0112793"	57.37	58.45	50.08	0.00	83.61	14.45	0.00	39.52	24.91	63.23	31.75	13.29
"FBtr0082483"	2776.00	2908.00	2364.00	1937.00	2154.00	2401.00	943.00	770.00	723.00	1256.00	1543.00	1130.00
"FBtr0339146"	669.52	468.53	455.21	565.80	696.00	597.06	236.94	284.76	329.16	330.48	395.00	354.90
"FBtr0346150"	19.21	27.59	0.00	14.75	10.45	25.13	22.29	8.45	17.21	18.80	36.88	22.19
"FBtr0346611"	21896.27	22306.88	20087.79	19060.45	24302.56	21039.80	14758.77	16969.78	17339.63	17336.73	21665.12	17761.91
"FBtr0074372"	889.00	811.00	607.00	594.00	639.00	699.00	300.00	288.00	288.00	455.00	518.00	418.00
"FBtr0080542"	4.50	1.50	0.00	6.00	1.92	4.00	0.00	2.17	0.00	3.50	3.50	0.50
"FBtr0309960"	0.00	0.00	5.00	0.00	5.15	0.00	2.00	1.66	4.00	0.00	0.00	0.00
"FBtr0342712"	4.50	1.50	0.00	6.00	1.92	4.00	0.00	2.17	0.00	3.50	3.50	0.50
"FBtr0072378"	3.98	0.00	0.00	0.00	0.00	0.00	4.35	0.00	3.96	0.00	0.00	0.00
"FBtr0072379"	4.02	16.00	5.00	22.00	41.00	49.00	63.65	113.00	134.04	156.00	192.93	160.00
"FBtr0300076"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.07	0.00
"FBtr0084869"	1428.00	1644.00	1256.00	2680.00	3132.00	3780.00	537.00	433.00	348.00	2108.00	2746.00	2051.00
"FBtr0074388"	3095.16	2013.57	1917.07	2091.44	1995.67	2519.53	2556.53	2222.32	2034.84	2669.71	2944.35	3122.22
"FBtr0111000"	8.02	0.00	0.00	0.00	16.69	0.08	136.47	174.68	210.67	91.58	124.65	122.74
"FBtr0343763"	4.82	0.00	0.00	0.00	4.64	30.50	0.00	0.00	31.49	69.71	0.00	37.05
"FBtr0343764"	0.00	22.43	22.93	13.56	0.00	25.89	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081664"	54.29	49.02	126.55	12.85	24.65	32.23	65.27	51.41	17.27	9.09	95.64	24.16
"FBtr0081665"	2911.18	2803.40	2257.67	2328.60	2557.30	2636.82	2108.43	1487.76	1206.21	2456.84	2433.76	1798.52
"FBtr0081666"	0.00	0.00	67.43	146.42	50.84	28.88	54.16	0.00	54.34	40.87	81.38	48.90
"FBtr0081667"	212.88	178.25	96.53	74.08	159.11	111.10	124.78	99.88	42.83	74.03	42.12	75.97
"FBtr0081668"	1393.21	949.78	838.82	681.05	771.59	947.87	532.87	583.52	338.27	665.74	599.21	882.95
"FBtr0073855"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300566"	4191.34	3982.52	3512.34	3365.34	4238.90	4007.39	4816.48	5481.63	5693.80	4713.49	6401.33	5716.40
"FBtr0307296"	156.23	163.87	146.52	131.02	230.78	204.05	171.46	240.80	240.05	255.17	385.46	335.89
"FBtr0332843"	145.90	76.28	192.09	101.56	188.77	183.26	227.82	340.82	315.51	310.75	321.75	295.11
"FBtr0332844"	139.53	189.34	177.06	103.08	150.54	143.31	219.24	188.75	242.64	174.59	327.45	221.60
"FBtr0070672"	0.00	0.00	5.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300608"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300609"	0.00	0.00	0.00	8.81	0.00	24.32	8.86	4.11	5.98	25.10	17.60	15.08
"FBtr0308914"	0.00	0.00	0.68	0.00	7.00	6.91	0.00	19.89	0.00	54.00	63.40	53.91
"FBtr0308915"	5.00	3.00	0.00	7.19	0.00	0.00	8.14	0.00	22.02	33.90	0.00	0.00
"FBtr0331162"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343569"	0.00	0.00	0.00	0.00	0.00	8.77	0.00	0.00	0.00	0.00	0.00	13.01
"FBtr0079929"	195.50	186.50	114.50	191.00	406.00	532.00	2181.50	2778.00	3226.00	1792.50	2588.50	2473.00
"FBtr0329984"	195.50	186.50	114.50	191.00	406.00	532.00	2181.50	2778.00	3226.00	1792.50	2588.50	2473.00
"FBtr0087782"	14085.38	14227.06	11669.81	10080.75	10452.47	11780.29	10852.66	12402.18	14393.33	11584.62	14861.22	13254.10
"FBtr0087783"	9600.62	8514.94	6421.19	8748.25	9893.53	10629.71	5269.34	5282.82	6107.67	8498.38	10664.78	7151.90
"FBtr0080803"	1745.43	1676.78	1543.65	780.19	851.47	1212.06	25.76	17.68	21.08	65.69	83.31	85.12
"FBtr0080804"	16130.02	12493.22	10426.35	9953.86	9211.99	11359.34	133.74	58.51	36.50	756.29	810.73	345.97
"FBtr0080805"	210.10	0.00	0.00	3871.90	4435.09	3363.19	0.00	9.62	22.84	316.03	648.92	217.82
"FBtr0081002"	3795.93	3201.12	2720.62	2221.76	2248.53	2653.89	1549.51	1203.36	1012.57	1874.72	1727.59	1605.97
"FBtr0305688"	11.67	0.00	17.54	10.66	40.98	17.44	25.78	29.49	7.51	32.53	6.79	15.96
"FBtr0330225"	76.46	62.75	97.23	37.83	67.96	101.78	126.19	192.79	89.36	73.02	191.03	194.10
"FBtr0330226"	3795.93	3201.12	2720.62	2221.76	2248.53	2653.89	1549.51	1203.36	1012.57	1874.72	1727.59	1605.97
"FBtr0084949"	1.00	0.00	0.00	1.00	0.00	5.00	1.00	0.00	0.00	5.00	0.00	2.00
"FBtr0075523"	2282.85	1297.69	1197.07	1627.59	2422.17	2475.12	3313.67	3578.12	2660.84	4196.98	4203.38	3386.96
"FBtr0075524"	743.51	376.57	479.81	442.00	467.88	693.05	564.85	429.44	595.62	808.09	702.97	796.41
"FBtr0075525"	3081.81	2139.48	1841.95	2295.87	2243.37	2725.89	3342.79	3344.64	3983.24	2968.15	4275.45	4474.99
"FBtr0075526"	108.03	106.79	90.22	84.66	15.21	194.04	108.90	218.17	229.06	157.63	222.74	213.65
"FBtr0330160"	3081.81	2139.48	1841.95	2295.87	2243.37	2725.89	3342.79	3344.64	3983.24	2968.15	4275.45	4474.99
"FBtr0333580"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075621"	108.00	112.00	98.00	199.00	442.00	426.00	846.00	1258.00	1603.00	1189.00	1895.00	1280.00
"FBtr0070638"	472.00	491.00	337.00	404.00	452.00	499.00	408.00	384.00	344.00	426.00	494.00	437.00
"FBtr0077423"	628.00	634.00	706.00	561.00	1081.00	851.00	10562.00	12187.00	12586.00	7624.00	8869.00	9685.00
"FBtr0079084"	947.74	267.85	759.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
