	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0020235"	5698.00	6270.00	5679.00	8402.00	8515.00	8509.00	2817.00	2892.00	2979.00	6409.00	6952.00	7349.00	7083.00	6516.00	7298.00
"FBgn0020236"	1680.00	2518.00	2548.00	2101.00	2465.00	1844.00	338.00	182.00	330.00	1238.00	1181.00	1635.00	1695.00	1949.00	3213.00
"FBgn0020238"	20911.00	24550.00	22573.00	31310.00	33692.00	30208.00	31250.00	30745.00	29712.00	23587.00	22755.00	24647.00	22625.00	19681.00	32087.00
"FBgn0020248"	1449.00	1691.00	1441.00	2908.00	2869.00	2688.00	76.00	49.00	66.00	1582.00	1316.00	1545.00	1675.00	1948.00	1970.00
"FBgn0020249"	2701.00	2914.00	2524.00	3470.00	3627.00	3304.00	2569.00	2925.00	2696.00	3298.00	3115.00	3549.00	2825.00	2613.00	3180.00
"FBgn0020251"	343.00	627.00	631.00	343.00	481.00	315.00	908.00	616.00	790.00	380.00	241.00	322.00	312.00	308.00	798.00
"FBgn0020255"	26258.00	30566.00	26406.00	35851.00	37799.00	33162.00	34356.00	37861.00	34998.00	30967.00	31723.00	33115.00	29228.00	29263.00	36260.00
"FBgn0020257"	1.00	1.00	3.00	16.00	17.00	28.00	8.00	9.00	18.00	1.00	1.00	2.00	0.00	3.00	1.00
"FBgn0020258"	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020261"	921.00	1513.00	1716.00	823.00	1028.00	638.00	728.00	429.00	692.00	730.00	649.00	841.00	1012.00	1145.00	2038.00
"FBgn0020269"	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020270"	1763.00	2026.00	1913.00	2260.00	2450.00	2165.00	2066.00	1974.00	1981.00	1981.00	1885.00	2090.00	2173.00	2043.00	3106.00
"FBgn0020272"	700.00	839.00	792.00	1163.00	1209.00	1135.00	79.00	52.00	66.00	684.00	724.00	733.00	718.00	921.00	1007.00
"FBgn0020277"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020278"	463.00	863.00	1147.00	675.00	915.00	567.00	1380.00	859.00	1347.00	411.00	382.00	468.00	543.00	496.00	1076.00
"FBgn0020279"	3818.00	7593.00	9143.00	3079.00	4203.00	2475.00	10545.00	6925.00	9611.00	2834.00	2705.00	3134.00	3395.00	3807.00	8098.00
"FBgn0020280"	0.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00	0.00	3.00	2.00	2.00	0.00	0.00	0.00
"FBgn0020294"	1.00	2.00	0.00	1.00	2.00	0.00	0.00	1.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00
"FBgn0020299"	0.00	0.00	0.00	5.00	3.00	8.00	2.00	2.00	0.00	0.00	2.00	0.00	1.00	1.00	4.00
"FBgn0020300"	24.00	21.00	17.00	59.00	79.00	73.00	26.00	28.00	22.00	32.00	23.00	27.00	17.00	21.00	24.00
"FBgn0020304"	1270.00	1821.00	1924.00	1734.00	1955.00	1488.00	1704.00	1275.00	1491.00	1230.00	1036.00	1430.00	1353.00	1441.00	2331.00
"FBgn0020305"	2149.00	2191.00	1824.00	2732.00	2851.00	2416.00	1956.00	2393.00	2319.00	2410.00	2301.00	2508.00	2484.00	2244.00	2908.00
"FBgn0020306"	3676.00	11035.00	14154.00	2969.00	4629.00	1901.00	9982.00	5264.00	9224.00	2259.00	1649.00	2068.00	2326.00	4042.00	10288.00
"FBgn0020307"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
"FBgn0020309"	930.00	1460.00	1592.00	1120.00	1258.00	996.00	233.00	136.00	212.00	823.00	605.00	777.00	1047.00	1315.00	2157.00
"FBgn0020312"	1050.00	1409.00	1499.00	1727.00	1929.00	1804.00	152.00	102.00	193.00	1088.00	1015.00	1324.00	849.00	908.00	1458.00
"FBgn0020369"	6877.00	7964.00	7135.00	10037.00	10542.00	9828.00	3379.00	3106.00	3322.00	6553.00	8250.00	8855.00	7620.00	7768.00	9710.00
"FBgn0020370"	4277.00	6243.00	6891.00	6015.00	6889.00	5606.00	4983.00	3550.00	5058.00	3429.00	3110.00	4242.00	3975.00	3513.00	7770.00
"FBgn0020371"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020372"	6.00	7.00	5.00	8.00	3.00	9.00	31.00	15.00	29.00	11.00	20.00	21.00	34.00	10.00	36.00
"FBgn0020376"	0.00	0.00	0.00	0.00	2.00	0.00	2.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	1.00
"FBgn0020377"	0.00	0.00	1.00	16.00	19.00	48.00	1.00	1.00	1.00	0.00	1.00	1.00	0.00	1.00	0.00
"FBgn0020378"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
"FBgn0020379"	322.00	530.00	515.00	431.00	586.00	399.00	261.00	162.00	189.00	381.00	332.00	366.00	357.00	410.00	772.00
"FBgn0020381"	332.00	333.00	336.00	485.00	477.00	452.00	206.00	221.00	200.00	390.00	337.00	437.00	392.00	373.00	457.00
"FBgn0020385"	694.13	938.00	1101.38	893.13	1031.84	820.80	1478.66	1126.62	1376.41	713.43	703.80	838.87	878.81	627.76	1452.65
"FBgn0020386"	3240.00	5092.00	5167.00	4315.00	5038.00	4143.00	6033.00	4556.00	5757.00	3253.00	2884.00	3332.00	3869.00	3221.00	7717.00
"FBgn0020388"	1948.00	2399.00	2333.00	2622.00	2870.00	2421.00	2826.00	2414.00	2605.00	2301.00	2165.00	2250.00	2091.00	1445.00	3174.00
"FBgn0020389"	289.00	393.00	358.00	549.00	553.00	563.00	18.00	7.00	15.00	350.00	321.00	319.00	345.00	433.00	507.00
"FBgn0020391"	6.00	9.00	10.00	8.00	14.00	12.00	12.00	9.00	10.00	10.00	15.00	16.00	3.00	2.00	10.00
"FBgn0020392"	5063.00	5911.00	5653.00	7225.00	8285.00	7312.00	3475.00	3251.00	3507.00	5729.00	5350.00	6552.00	5430.00	5180.00	7589.00
"FBgn0020399"	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020407"	745.00	881.00	899.00	1192.00	1294.00	1108.00	1148.00	927.00	1044.00	855.00	763.00	945.00	906.00	717.00	1311.00
"FBgn0020412"	1409.00	2571.00	2969.00	1313.00	1721.00	1118.00	3124.00	2010.00	2823.00	1063.00	839.00	1138.00	1215.00	1230.00	2980.00
"FBgn0020414"	83.00	74.00	61.00	10.00	28.00	18.00	31.00	35.00	42.00	72.00	90.00	106.00	291.00	259.00	391.00
"FBgn0020415"	592.00	734.00	556.00	359.00	386.00	318.00	349.00	308.00	333.00	683.00	485.00	668.00	2412.00	1622.00	2936.00
"FBgn0020416"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
"FBgn0020429"	0.00	0.00	0.00	0.00	0.00	0.00	3.00	5.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020440"	1378.00	2099.00	2235.00	1557.00	1987.00	1411.00	515.00	377.00	489.00	1188.00	871.00	1234.00	1225.00	1082.00	2703.00
"FBgn0020443"	6477.00	9183.00	9064.00	9540.00	10954.00	8944.00	3538.00	2569.00	3314.00	5882.00	5738.00	6977.00	6398.00	7275.00	11335.00
"FBgn0020445"	2064.00	3383.00	3510.00	2959.00	3325.00	2531.00	432.00	184.00	388.00	1793.00	1480.00	1883.00	2268.00	2526.00	4898.00
"FBgn0020493"	32.00	51.00	38.00	177.00	193.00	208.00	9.00	3.00	4.00	64.00	41.00	61.00	58.00	67.00	139.00
"FBgn0020496"	4442.00	6572.00	6541.00	5541.00	6417.00	5038.00	8484.00	6919.00	7609.00	4695.00	3847.00	4223.00	3934.00	2985.00	7540.00
"FBgn0020497"	4109.00	6243.00	6955.00	5111.00	6230.00	4754.00	6841.00	4885.00	6151.00	3697.00	3122.00	4273.00	3832.00	2906.00	8475.00
"FBgn0020503"	842.00	1367.00	1320.00	889.00	1159.00	797.00	610.00	399.00	498.00	557.00	475.00	673.00	650.00	1037.00	2221.00
"FBgn0020506"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020508"	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020509"	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	4.00	3.00	4.00	1.00	0.00
"FBgn0020510"	1727.00	2255.00	2273.00	2376.00	2676.00	2306.00	2318.00	1856.00	2207.00	1769.00	1632.00	2018.00	2035.00	1687.00	2942.00
"FBgn0020513"	896.00	861.00	964.00	1291.00	1277.01	1184.01	86.00	60.00	94.00	864.00	747.00	815.00	670.00	560.00	927.00
"FBgn0020518"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020521"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020545"	1573.00	1815.00	1535.00	2200.00	2320.00	2255.00	1530.00	1782.00	1720.00	1921.00	2139.00	2173.00	2279.00	2074.00	2370.00
"FBgn0020546"	1.00	1.00	0.00	3.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
"FBgn0020556"	1.00	0.00	0.00	5.00	0.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020616"	359.00	591.00	461.00	493.00	572.00	459.00	1.00	2.00	5.00	260.00	207.00	257.00	332.00	500.00	655.00
"FBgn0020617"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020618"	31018.00	33807.00	30185.00	38974.00	40760.00	39250.00	36215.00	38863.00	38967.00	36988.00	39327.00	41307.00	36041.00	30629.00	33574.00
"FBgn0020620"	1255.00	1879.00	2129.00	1655.00	1910.00	1506.00	2222.00	1727.00	2194.00	1163.00	1023.00	1265.00	1318.00	1026.00	2379.00
"FBgn0020621"	1631.00	2679.00	2981.00	1468.00	1842.00	1274.00	2542.00	1723.00	2352.00	1380.00	1108.00	1456.00	1537.00	1484.00	3496.00
"FBgn0020622"	2094.00	3010.00	2860.00	2994.00	3340.00	2694.00	167.00	96.00	173.00	1851.00	1593.00	2082.00	1786.00	2286.00	3456.00
"FBgn0020626"	1253.00	1821.00	2043.00	1694.00	1843.00	1528.00	1196.00	890.00	1154.00	1030.00	1073.00	1257.00	1248.00	1165.00	2402.00
"FBgn0020633"	5080.00	6070.00	6206.00	6777.00	7693.00	6823.00	8887.00	7145.00	7872.00	5807.00	5283.00	5539.00	5461.00	3400.00	9090.00
"FBgn0020637"	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.95
"FBgn0020638"	0.00	1.00	3.00	3.36	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	3.72
"FBgn0020639"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020640"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020641"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020642"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020643"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020644"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020645"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020646"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020647"	659.00	1049.00	1102.00	798.00	901.00	646.00	251.00	117.00	203.00	455.00	453.00	520.00	560.00	729.00	1284.00
"FBgn0020653"	5712.00	7697.00	7375.00	8384.00	8591.00	8345.00	1306.00	1043.00	1335.00	5355.00	5529.00	6165.00	6721.00	7363.00	8098.00
"FBgn0020655"	2340.00	3022.00	2851.00	3493.00	3757.00	3407.00	3193.00	2841.00	3127.00	2175.00	2266.00	2493.00	2558.00	2353.00	3741.00
"FBgn0020660"	10537.00	12387.00	10138.00	13089.00	13736.00	11006.00	13334.00	14640.00	13340.00	12159.00	9424.00	12115.00	10915.00	10565.00	18039.00
"FBgn0020762"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020764"	257.00	297.00	297.00	372.00	368.00	296.00	61.00	48.00	56.00	247.00	202.00	238.00	361.00	444.00	493.00
"FBgn0020765"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020767"	857.00	1236.00	1283.00	940.00	1139.00	868.00	286.00	207.00	274.00	1067.00	838.00	1045.00	1153.00	1033.00	1837.00
"FBgn0020880"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020887"	1029.00	1498.00	1498.00	1396.00	1643.00	1250.00	46.00	29.00	63.00	848.00	729.00	852.00	958.00	1383.00	1775.00
"FBgn0020906"	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
"FBgn0020907"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020908"	24.00	17.00	16.00	94.00	94.00	91.00	34.00	38.00	32.00	24.00	23.00	20.00	34.00	26.00	39.00
"FBgn0020909"	1167.00	1252.00	1168.00	1681.00	1767.00	1507.00	1770.00	1810.00	1661.00	1404.00	1317.00	1331.00	1259.00	1263.00	1465.00
"FBgn0020910"	30525.00	39208.00	37538.00	40455.00	43014.01	43742.00	43686.00	45588.00	47220.00	27402.00	32928.00	32891.00	31952.00	34052.00	38040.00
"FBgn0020912"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0020930"	792.00	976.00	952.00	1213.00	1326.00	1126.00	384.00	309.00	388.00	832.00	792.00	923.00	774.00	718.00	924.00
"FBgn0021738"	0.00	0.00	0.00	0.00	1.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.03	0.00
"FBgn0021742"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0021750"	644.00	822.00	682.00	1000.00	1128.00	938.00	225.00	186.00	224.00	808.00	711.00	806.00	1115.00	1222.00	1329.00
"FBgn0021760"	1411.00	2754.00	3134.00	1612.00	2072.00	1345.00	2830.00	1741.00	2663.00	1006.00	866.00	1231.00	1151.00	1295.00	3297.00
"FBgn0021761"	4204.00	6305.00	6482.00	4815.00	5692.00	4815.00	4382.00	3138.00	4305.00	3356.00	3020.00	4130.00	3468.00	3149.00	7387.00
"FBgn0021764"	1189.00	2933.00	3288.00	794.00	1109.00	508.00	4069.00	2201.00	3396.00	983.00	606.00	738.00	864.00	1082.00	2985.00
"FBgn0021765"	4571.00	5090.00	4577.00	5729.00	5678.00	5584.00	1380.00	1434.00	1530.00	5474.00	6734.00	5777.00	5554.00	4880.00	4285.00
"FBgn0021767"	0.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	2.00	1.00	0.00	0.00	1.00	0.00	0.00
"FBgn0021768"	2760.00	3078.00	2650.00	3483.00	3510.00	3142.00	1412.00	1582.00	1471.00	3062.00	3051.00	3310.00	2546.00	2763.00	3219.00
"FBgn0021776"	1.00	4.00	1.00	13.00	28.00	57.00	2.00	0.00	1.00	1.00	2.00	0.00	0.00	0.00	0.00
"FBgn0021795"	911.00	967.00	771.00	1462.00	1425.00	1386.00	46.00	36.00	38.00	949.00	1075.00	1049.00	1028.00	1134.00	1064.00
"FBgn0021796"	579.00	1309.00	1796.00	634.00	896.00	528.00	439.00	211.00	370.00	358.00	328.00	434.00	395.00	623.00	1417.00
"FBgn0021800"	875.00	1387.00	1393.00	1063.00	1277.00	891.00	408.00	303.00	366.00	885.00	650.00	838.00	1013.00	1181.00	2044.00
"FBgn0021814"	648.00	631.00	522.00	864.00	868.00	850.00	326.00	380.00	352.00	812.00	818.00	900.00	839.00	832.00	748.00
"FBgn0021825"	1424.00	1786.00	1555.00	2019.00	2073.00	2001.00	1915.00	1899.00	1816.00	1560.00	1811.00	1721.00	1681.00	1553.00	1926.00
"FBgn0021847"	1119.00	1417.00	1307.00	1668.00	1876.00	1645.00	83.00	39.00	70.00	1006.00	942.00	1126.00	986.00	1229.00	1592.00
"FBgn0021856"	1068.00	1154.00	1001.00	1631.00	1635.00	1543.00	1140.00	1266.00	1248.00	1264.00	1426.00	1554.00	1417.00	1176.00	1504.00
"FBgn0021872"	2668.00	3454.00	3167.00	3594.00	3947.00	3467.00	527.00	431.00	539.00	2435.00	2435.00	2742.00	2451.00	3053.00	3181.00
"FBgn0021874"	94.00	142.00	112.00	190.00	207.00	196.00	8.00	17.00	17.00	97.00	106.00	81.00	143.00	168.00	153.00
"FBgn0021875"	156.00	202.00	169.00	284.00	286.00	310.00	10.00	7.00	9.00	177.00	188.00	169.00	215.00	244.00	265.00
"FBgn0021895"	2456.00	3322.00	3350.00	3281.00	3410.00	3150.00	3605.00	3793.00	3552.00	2133.00	2312.00	2490.00	2244.00	2166.00	3361.00
"FBgn0021906"	1999.00	2363.00	1921.00	2587.00	2650.00	2624.00	1679.00	2072.00	1871.00	2705.00	3123.00	2914.00	3273.00	2751.00	2777.00
"FBgn0021944"	1508.00	1770.00	1563.00	2287.00	2311.00	2295.00	242.00	173.00	269.00	1624.00	1638.00	1760.00	1884.00	2116.00	2212.00
"FBgn0021967"	1614.00	1605.00	1310.00	1782.00	1826.00	1861.00	1621.00	2099.00	1869.00	2033.00	2321.00	2193.00	2084.00	1988.00	1716.00
"FBgn0021979"	2942.00	3679.00	3695.00	4080.00	4503.00	4112.00	4591.00	4353.00	4416.00	3569.00	3744.00	3779.00	3316.00	2286.00	4753.00
"FBgn0021995"	1879.00	2213.00	2384.00	2495.00	2666.00	2297.00	2729.00	2434.00	2594.00	2050.00	1950.00	2033.00	1938.00	1392.00	2956.00
"FBgn0022023"	5919.00	6336.00	5713.00	7599.00	8154.00	7497.00	7924.00	8616.00	8185.00	7741.00	7233.00	7574.00	7455.00	6346.00	8421.00
"FBgn0022027"	868.00	884.00	723.00	893.00	1019.00	920.00	533.00	697.00	610.00	1121.00	1276.00	1198.00	1295.00	1112.00	999.00
"FBgn0022029"	1834.00	2161.00	2191.00	2424.00	2776.00	2271.00	2518.00	2167.00	2487.00	2024.00	1688.00	2104.00	1726.00	1223.00	2533.00
"FBgn0022069"	3252.00	4349.00	4585.00	3627.00	4226.00	3617.00	5733.00	4329.00	4931.00	3158.00	2657.00	2997.00	2809.00	2040.00	5067.00
"FBgn0022097"	4007.00	4098.00	3745.00	4831.00	5195.00	4653.00	1291.00	1234.00	1252.00	4734.00	4740.00	4799.00	5141.00	4782.00	5113.00
"FBgn0022153"	402.00	628.00	665.00	740.00	843.00	698.00	17.00	13.00	25.00	281.00	247.00	328.00	307.00	386.00	682.00
"FBgn0022160"	33.00	33.00	35.00	30.00	45.00	50.00	37.00	20.00	21.00	38.00	25.00	33.00	54.00	61.00	89.00
"FBgn0022213"	7736.00	10942.00	10757.00	11525.00	12995.00	11035.00	1433.00	796.00	1328.00	7026.00	6257.00	8082.00	7610.00	7288.00	13580.00
"FBgn0022224"	860.00	839.00	702.00	717.00	709.00	613.00	842.00	1050.00	930.00	1018.00	1089.00	1134.00	823.00	899.00	675.00
"FBgn0022238"	3870.00	5522.00	4877.00	5436.00	6268.00	5333.00	7314.00	7367.00	6862.00	4071.00	3623.00	3873.00	3792.00	3607.00	6733.00
"FBgn0022288"	2476.00	2898.00	2675.00	3591.00	3804.00	3306.00	2324.00	2362.00	2394.00	2787.00	2245.00	2859.00	3038.00	2733.00	3812.00
"FBgn0022338"	6231.00	6728.00	5653.00	9812.00	10401.00	9752.00	3672.00	3706.00	3774.00	6812.00	7194.00	8238.00	9607.00	8658.00	10796.00
"FBgn0022343"	1897.00	2047.00	1800.00	3261.00	3310.00	3405.00	114.00	103.00	114.00	2281.00	2005.00	2137.00	2785.00	3050.00	3150.00
"FBgn0022344"	841.00	832.00	654.00	1049.00	1108.00	1049.00	61.00	39.00	44.00	738.00	802.00	887.00	565.00	751.00	756.00
"FBgn0022349"	4051.00	5432.00	5396.00	5769.00	6571.00	5295.00	1394.00	1085.00	1409.00	3361.00	3124.00	4135.00	4414.00	4378.00	7039.00
"FBgn0022355"	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	2.00	1.00	0.00	0.00
"FBgn0022359"	330.00	348.00	254.00	440.00	413.00	431.00	646.00	673.00	670.00	630.00	893.00	618.00	676.00	487.00	719.00
"FBgn0022361"	1278.00	1366.00	1204.00	1481.00	1564.00	1260.00	1710.00	2177.00	1661.00	1452.00	1312.00	1382.00	1065.00	1074.00	1542.00
"FBgn0022382"	1530.00	1945.00	1601.00	1857.00	2071.00	1782.00	389.00	309.00	385.00	1510.00	1343.00	1634.00	1565.00	1876.00	2320.00
"FBgn0022699"	784.00	933.00	1046.00	1184.00	1307.00	1183.00	1224.00	1007.00	1152.00	812.00	761.00	804.00	920.00	605.00	1330.00
"FBgn0022700"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0022702"	383.00	453.00	341.00	905.00	874.00	922.00	8.00	13.00	10.00	303.00	318.00	322.00	525.00	647.00	708.00
"FBgn0022709"	116.00	138.00	127.00	204.00	234.00	197.00	173.00	197.00	179.00	222.00	180.00	212.00	163.00	144.00	213.00
"FBgn0022710"	79.00	185.00	272.00	58.00	87.00	30.00	279.00	180.00	233.00	66.00	43.00	56.00	71.00	107.00	239.00
"FBgn0022724"	1198.00	1360.00	1199.00	2021.00	2089.00	1920.00	657.00	646.00	670.00	1453.00	1325.00	1559.00	1397.00	1326.00	1692.00
"FBgn0022740"	0.00	0.00	1.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0022764"	2838.00	6927.00	8278.00	2958.00	4213.00	2171.00	3578.00	2059.00	3329.00	1814.00	1444.00	1847.00	2122.00	3307.00	7530.00
"FBgn0022768"	1170.00	2749.00	3232.00	1125.00	1539.00	886.00	1667.00	963.00	1535.00	847.00	713.00	889.00	1135.00	1522.00	3250.00
"FBgn0022770"	1.00	5.00	2.00	1.00	3.00	0.00	0.00	0.00	1.00	2.00	4.00	3.00	1.00	2.00	2.00
"FBgn0022772"	3153.00	4160.00	4576.00	5499.00	5966.00	5501.00	1778.00	1290.00	1691.00	2796.00	2695.00	3281.00	3704.00	3035.00	6392.00
"FBgn0022774"	2.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0022786"	1304.00	1731.00	1627.00	2132.00	2475.00	2013.00	251.00	160.00	261.00	1175.00	1139.00	1412.00	1400.00	1491.00	2222.00
"FBgn0022787"	468.00	830.00	978.00	611.00	669.00	523.00	140.00	72.00	101.00	295.00	322.00	378.00	339.00	447.00	966.00
"FBgn0022800"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0022893"	34269.00	48063.00	42234.00	38300.00	42311.00	36604.00	58679.00	62792.00	57015.00	35467.00	34950.00	30244.00	29247.00	30079.00	52467.00
"FBgn0022935"	364.00	505.00	429.00	519.00	570.00	505.00	23.00	14.00	25.00	281.00	234.00	283.00	315.00	444.00	602.00
"FBgn0022936"	1701.00	1845.00	1664.00	2386.00	2538.00	2174.00	771.00	754.00	691.00	1770.00	1746.00	2021.00	1686.00	1663.00	1695.00
"FBgn0022942"	2122.00	2819.00	3155.00	2708.00	3164.00	2743.00	4087.00	2818.00	3630.00	1855.00	1846.00	2065.00	1808.00	1397.00	3489.00
"FBgn0022943"	1444.00	1402.00	1241.00	1962.00	2230.00	1932.00	1446.00	1754.00	1551.00	1914.00	1917.00	1974.00	1999.00	1870.00	1747.00
"FBgn0022959"	3824.00	4956.00	4767.00	5897.00	6050.00	5253.00	3135.00	3126.00	3219.00	4452.00	4672.00	4609.00	4947.00	4848.00	5800.00
"FBgn0022960"	2157.00	3098.00	3431.42	3065.00	3329.79	2752.35	2071.37	1518.21	1896.00	2002.00	1807.00	2149.00	1803.00	1454.00	3324.61
"FBgn0022981"	6448.00	8084.00	6935.00	8046.00	9050.00	7467.00	8470.00	8155.00	7849.00	7394.00	6270.00	7087.00	6756.00	5518.00	9686.00
"FBgn0022984"	995.00	1262.00	1143.00	1536.00	1664.00	1366.00	2046.00	2285.00	2035.00	1326.00	1323.00	1330.00	1163.00	936.00	1692.00
"FBgn0022985"	2238.00	2983.00	3129.00	2810.00	3254.00	2537.00	2618.00	2167.00	2394.00	2497.00	2280.00	2415.00	2581.00	2003.00	4066.00
"FBgn0022986"	789.00	904.00	949.00	1348.00	1415.00	1334.00	1209.00	1125.00	1263.00	680.00	790.00	996.00	965.00	688.00	1378.00
"FBgn0022987"	1662.00	1895.00	1942.00	2116.00	2229.00	1913.00	2797.00	2554.00	2616.00	1885.00	1688.00	1851.00	1603.00	1198.00	2724.00
"FBgn0023000"	807.00	865.00	797.00	908.00	1006.00	847.00	1001.00	1078.00	1021.00	905.00	694.00	874.00	661.00	578.00	887.00
"FBgn0023001"	2.00	1.00	0.00	3.00	3.00	4.00	0.00	0.00	0.00	3.00	1.00	1.00	0.00	0.00	0.00
"FBgn0023023"	37.00	44.00	57.00	67.00	61.00	39.00	68.00	65.00	58.00	60.00	58.00	68.00	67.00	54.00	86.00
"FBgn0023076"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0023081"	1250.00	1958.00	2141.00	1502.00	1813.00	1420.00	2043.00	1680.00	2083.00	1042.00	840.00	1177.00	983.00	914.00	2322.00
"FBgn0023083"	2764.27	4194.69	4126.84	4251.71	4876.29	4128.44	785.40	494.35	662.80	1816.72	1845.13	2319.51	1654.26	1874.74	3872.64
"FBgn0023090"	1.00	4.00	5.00	8.00	7.00	3.00	6.00	9.00	11.00	2.00	3.00	7.00	2.00	3.00	2.00
