	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0033170"	0.00	0.00	0.21	0.45	0.41	0.35	0.28	0.12	0.20	0.71	0.08	0.32	0.17	0.39	0.10
"FBgn0033174"	7.94	8.04	8.11	24.42	24.67	22.95	22.06	18.11	18.46	11.91	11.94	8.76	9.64	9.67	12.38
"FBgn0033177"	48.16	51.30	61.75	53.27	57.91	55.05	79.41	66.27	75.36	45.67	44.31	45.57	46.53	35.50	66.22
"FBgn0033178"	36.60	34.42	37.81	46.37	43.29	47.45	44.98	45.98	42.50	36.33	38.30	35.90	35.80	27.66	37.76
"FBgn0033179"	106.92	112.37	120.06	126.58	118.70	133.76	12.04	10.60	13.06	84.48	103.18	96.69	105.22	124.67	113.91
"FBgn0033183"	69.39	85.82	93.98	92.67	85.51	90.92	8.72	5.76	8.20	52.05	52.75	57.45	68.87	82.96	90.73
"FBgn0033184"	36.58	41.55	41.57	47.76	45.03	47.66	49.01	49.66	52.66	36.24	39.97	38.47	39.80	36.99	43.98
"FBgn0033185"	41.68	46.72	51.01	44.67	46.72	41.98	55.05	43.24	46.88	37.12	32.90	38.84	39.36	31.64	56.19
"FBgn0033186"	19.31	20.29	19.15	22.57	23.51	21.16	23.20	19.30	21.15	19.74	16.71	19.06	22.43	18.35	25.64
"FBgn0033187"	15.53	16.27	18.05	20.13	22.59	20.75	4.37	2.31	4.54	13.26	11.38	15.36	14.17	12.79	18.08
"FBgn0033188"	0.00	0.00	0.04	0.03	0.03	0.11	0.09	0.04	0.04	0.03	0.00	0.00	0.00	0.00	0.03
"FBgn0033190"	0.06	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.05	0.00	0.03	0.00
"FBgn0033191"	19.10	21.00	20.84	34.15	28.52	31.88	1.38	1.61	0.73	18.55	15.40	15.26	24.56	35.76	27.22
"FBgn0033192"	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
"FBgn0033194"	1.71	3.38	4.75	1.27	1.71	1.25	0.51	0.29	0.48	0.66	0.80	1.03	0.78	1.17	2.79
"FBgn0033195"	17.24	20.76	20.30	24.75	27.52	24.97	12.28	8.66	10.63	24.49	21.94	24.32	16.85	18.54	23.34
"FBgn0033196"	10.36	10.51	12.89	12.64	12.75	13.87	0.78	0.30	0.74	8.35	7.53	7.72	9.79	12.07	11.16
"FBgn0033199"	30.31	34.65	38.64	39.31	40.65	42.31	53.10	49.56	51.94	31.49	34.10	31.73	34.39	30.19	42.55
"FBgn0033202"	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.06	0.00	0.00	0.05	0.00	0.00	0.00
"FBgn0033203"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033204"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033205"	4.24	3.89	4.32	11.56	11.31	12.11	4.26	4.16	3.20	6.58	5.38	5.44	0.83	0.51	0.64
"FBgn0033206"	45.21	50.40	46.89	61.98	59.48	63.46	2.92	1.76	2.91	31.87	38.48	40.72	45.13	60.38	53.03
"FBgn0033207"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033208"	178.44	150.99	150.03	182.16	174.37	181.98	157.38	201.17	179.85	211.86	222.77	211.61	207.17	202.17	169.42
"FBgn0033209"	139.84	132.93	129.86	198.95	189.78	201.18	20.17	18.83	18.29	155.27	130.61	139.13	181.19	173.04	167.38
"FBgn0033210"	12.53	14.97	15.84	24.96	22.93	27.06	1.00	1.14	0.79	11.72	9.11	10.57	13.91	24.08	17.97
"FBgn0033212"	15.72	22.58	30.08	16.23	19.12	16.08	21.92	12.62	19.61	10.89	9.13	11.13	11.99	12.61	24.30
"FBgn0033214"	0.14	0.00	0.00	0.93	0.81	0.72	0.00	0.00	0.00	0.12	0.12	0.06	0.00	0.00	0.00
"FBgn0033215"	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.05	0.05	0.00	0.00	0.00	0.00
"FBgn0033216"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033221"	0.17	0.48	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.44	0.15	0.00	0.61	0.33	0.41
"FBgn0033222"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00
"FBgn0033224"	51.70	66.34	75.52	54.24	58.59	52.69	8.86	4.24	8.13	40.26	34.59	41.58	40.97	48.82	68.39
"FBgn0033225"	20.07	16.92	18.59	22.71	21.78	21.29	15.33	12.79	14.96	17.62	17.64	21.01	17.88	18.58	20.84
"FBgn0033226"	51.01	52.16	57.59	66.12	63.52	64.08	50.28	44.66	48.39	46.10	48.00	54.10	52.31	49.41	57.14
"FBgn0033229"	48.70	49.56	50.11	63.10	58.98	66.57	10.77	9.40	10.96	49.96	46.12	48.78	52.25	60.65	53.94
"FBgn0033232"	136.47	144.45	161.86	135.96	121.53	125.03	14.31	11.76	14.94	103.16	133.93	118.85	53.14	59.70	62.57
"FBgn0033233"	89.62	103.22	126.42	79.45	83.06	77.78	148.36	118.47	126.99	74.50	70.46	63.80	54.71	39.77	88.71
"FBgn0033234"	9.66	10.03	12.92	13.11	11.76	11.55	5.88	4.54	5.50	11.56	12.26	12.65	7.33	7.94	8.87
"FBgn0033235"	57.43	60.63	62.58	70.94	68.50	69.95	4.14	2.98	5.51	44.32	46.93	55.06	55.24	67.54	61.17
"FBgn0033236"	91.59	112.40	124.78	94.63	100.55	91.33	175.69	125.20	152.01	89.38	71.54	80.99	94.49	70.72	160.98
"FBgn0033238"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033240"	8.98	9.11	7.37	7.77	8.65	8.90	0.63	0.71	1.12	9.50	9.27	9.50	7.56	8.75	8.99
"FBgn0033241"	199.46	200.17	206.28	218.88	222.79	216.42	172.60	148.05	152.98	175.74	179.50	189.49	160.03	149.88	189.03
"FBgn0033243"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033244"	30.78	43.55	55.39	34.87	38.10	30.74	67.08	43.24	58.91	25.10	23.94	26.75	28.21	27.60	48.62
"FBgn0033246"	2.09	3.82	4.97	2.14	2.52	1.75	0.30	0.10	0.22	1.40	1.00	1.24	1.63	2.78	3.59
"FBgn0033247"	80.51	74.57	81.30	98.35	95.83	106.49	39.13	31.71	42.72	62.95	82.26	83.59	81.84	83.88	76.91
"FBgn0033248"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00
"FBgn0033249"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033250"	0.02	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033252"	1.30	2.01	2.68	1.85	2.02	2.42	0.31	0.07	0.25	1.28	1.04	0.94	0.95	1.21	2.00
"FBgn0033257"	1.76	1.50	2.18	1.92	2.68	2.17	2.23	2.38	2.55	1.34	2.37	2.31	3.99	3.83	7.09
"FBgn0033258"	50.18	56.96	51.85	57.28	62.28	61.04	7.00	4.67	6.92	45.41	39.99	45.77	50.42	58.39	60.10
"FBgn0033259"	38.79	44.10	47.42	42.29	47.77	42.21	3.07	2.22	3.49	30.50	26.19	35.16	31.58	35.17	45.04
"FBgn0033260"	47.15	59.65	67.51	57.60	64.40	54.18	46.50	33.74	44.61	36.48	34.53	43.73	34.61	37.59	62.37
"FBgn0033261"	96.46	87.28	77.28	93.28	88.48	91.24	99.06	117.15	111.97	106.88	104.33	104.63	85.72	90.92	80.20
"FBgn0033264"	168.06	181.98	200.10	216.70	215.31	210.57	216.67	174.21	199.77	144.71	139.28	163.57	159.69	142.40	200.96
"FBgn0033265"	26.18	28.55	30.47	31.75	33.71	31.77	44.40	35.21	40.82	28.59	22.35	27.04	23.14	18.28	36.73
"FBgn0033266"	45.75	51.97	53.86	54.87	56.06	55.88	4.69	1.65	3.93	39.24	40.42	43.88	44.57	48.60	51.46
"FBgn0033268"	0.15	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.13	0.00	0.26	0.00	0.00
"FBgn0033271"	0.00	0.04	0.00	0.04	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033272"	36.67	40.28	40.99	44.35	47.03	48.57	2.69	1.51	1.46	29.42	24.58	30.78	36.56	47.96	46.26
"FBgn0033273"	99.47	105.87	106.85	115.39	116.95	107.26	30.10	20.89	25.66	90.85	83.87	100.64	99.20	119.11	118.15
"FBgn0033274"	1.52	1.28	0.93	3.41	3.88	4.01	0.53	0.24	0.13	1.17	1.51	1.35	2.85	3.06	2.08
"FBgn0033275"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00
"FBgn0033277"	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033278"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033279"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.11	0.00
"FBgn0033280"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033283"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033285"	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00
"FBgn0033286"	0.05	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.08	0.00	0.00	0.04	0.00
"FBgn0033287"	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.13	0.00	0.00	0.07	0.00
"FBgn0033289"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033292"	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.06	0.11	0.00	0.00	0.07
"FBgn0033294"	0.09	0.00	0.05	0.00	0.03	0.00	0.14	0.08	0.00	0.11	0.00	0.04	0.00	0.00	0.03
"FBgn0033296"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00
"FBgn0033297"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033301"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033302"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
"FBgn0033303"	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033304"	3.54	3.55	3.03	0.45	0.79	0.54	4.04	2.83	3.12	3.44	3.31	3.38	4.93	3.75	5.37
"FBgn0033307"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.17	0.00	0.00
"FBgn0033308"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.21	0.10	0.10	0.00	0.00
"FBgn0033309"	145.60	150.80	153.22	173.54	168.69	170.00	84.52	76.57	87.92	140.93	150.99	159.44	158.29	167.02	164.67
"FBgn0033312"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033313"	8.49	15.35	22.17	5.46	7.18	3.38	25.41	13.58	23.07	6.56	4.76	6.28	7.36	8.59	16.82
"FBgn0033315"	46.14	46.71	46.83	43.39	45.13	45.18	19.89	18.53	21.90	49.25	53.48	57.45	34.99	36.91	32.18
"FBgn0033316"	67.94	70.48	81.85	79.88	84.99	79.92	107.02	81.90	99.17	71.29	63.72	70.87	68.47	49.71	90.51
"FBgn0033317"	154.31	149.90	157.10	179.25	167.77	174.55	54.86	52.09	56.08	132.33	132.83	137.78	160.47	175.83	162.98
"FBgn0033320"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033321"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033322"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033323"	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033324"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033326"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033327"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033330"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
"FBgn0033337"	4.95	6.84	7.41	7.21	6.93	8.54	0.11	0.15	0.03	3.95	3.29	4.41	3.86	6.06	6.17
"FBgn0033339"	21.37	28.27	39.07	24.01	26.01	20.31	15.75	8.92	13.34	13.70	13.96	16.49	17.41	19.95	32.96
"FBgn0033340"	198.08	183.09	174.41	144.47	156.46	151.21	201.76	213.23	205.58	201.42	233.25	188.11	160.17	185.62	133.53
"FBgn0033341"	73.88	75.65	76.62	82.52	80.80	95.36	59.81	78.12	64.76	70.14	79.70	68.87	95.73	107.96	69.62
"FBgn0033344"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00
"FBgn0033347"	0.74	0.87	1.81	0.75	0.79	0.93	0.44	0.11	0.65	0.82	0.55	0.76	0.46	0.28	0.46
"FBgn0033348"	31.88	33.81	31.96	40.00	40.32	36.60	15.84	12.26	13.49	29.76	27.69	34.34	29.33	29.66	38.30
"FBgn0033349"	63.94	76.80	83.96	90.97	91.55	94.94	19.95	14.05	20.23	49.94	49.94	60.33	59.99	69.52	73.63
"FBgn0033350"	50.60	46.32	46.03	59.42	60.52	59.27	62.80	60.64	60.71	54.36	57.08	62.00	57.61	47.20	51.65
"FBgn0033351"	45.24	51.43	46.79	51.28	48.51	52.00	3.21	2.74	3.10	43.02	46.15	42.37	54.12	59.31	54.50
"FBgn0033352"	20.82	28.33	35.85	28.23	30.08	25.09	50.47	31.25	43.01	17.27	15.71	19.36	18.63	15.32	33.69
"FBgn0033353"	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033354"	6.93	9.98	11.20	6.46	6.62	6.64	4.44	3.42	4.50	3.94	4.28	5.62	3.95	4.51	9.44
"FBgn0033355"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033356"	21.65	21.55	23.37	30.25	31.26	28.04	31.64	25.12	25.60	23.95	19.78	21.70	29.41	25.22	33.09
"FBgn0033357"	562.54	444.10	433.86	481.89	462.08	478.29	516.08	594.98	570.60	600.90	634.13	580.51	527.89	571.46	401.15
"FBgn0033358"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033359"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
"FBgn0033362"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033363"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033364"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033365"	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033366"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033367"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033368"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033369"	0.00	0.00	0.07	0.00	0.00	0.17	0.00	0.06	0.00	0.05	0.00	0.00	0.00	0.00	0.00
"FBgn0033371"	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
"FBgn0033372"	17.60	19.36	19.12	21.44	22.61	19.21	29.42	28.18	27.09	21.53	16.23	19.44	22.08	15.22	27.93
"FBgn0033373"	10.68	10.41	7.90	14.58	14.01	15.40	0.39	0.16	0.42	10.00	10.64	9.96	12.90	17.37	13.93
"FBgn0033374"	99.33	114.42	102.43	165.05	152.03	145.10	2.44	1.49	2.10	74.86	61.36	79.09	67.49	90.15	90.11
"FBgn0033375"	10.70	10.21	9.53	10.56	12.04	11.67	6.82	8.30	7.41	9.89	8.19	8.57	11.04	12.74	12.17
"FBgn0033376"	6.97	7.87	9.21	7.28	8.40	7.54	7.90	5.38	7.59	5.28	5.81	6.81	6.80	5.66	10.33
"FBgn0033377"	50.69	61.03	80.19	71.03	71.64	74.72	99.00	69.51	91.97	47.22	45.28	47.13	48.17	31.52	73.44
"FBgn0033378"	342.07	334.63	300.78	387.20	349.97	366.17	431.51	459.72	438.25	349.96	413.90	411.90	358.74	378.65	352.09
"FBgn0033379"	41.29	47.43	55.08	43.94	45.51	43.71	42.04	32.34	40.13	33.91	27.44	36.74	37.68	30.45	58.29
"FBgn0033380"	74.44	79.30	79.61	95.08	99.80	93.42	39.62	30.80	39.37	67.21	66.80	75.20	80.55	77.97	94.98
"FBgn0033381"	130.48	122.92	119.82	127.45	121.64	134.09	172.17	188.98	167.16	166.94	150.50	143.04	151.92	145.77	131.33
"FBgn0033382"	38.53	44.77	46.50	50.62	51.05	49.96	34.83	29.57	34.29	33.37	32.06	35.81	40.48	40.48	50.10
"FBgn0033387"	0.00	0.03	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.03	0.02
"FBgn0033388"	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033389"	1.05	1.15	0.85	1.54	2.23	1.44	0.60	0.31	0.70	3.75	4.44	5.67	1.15	1.21	1.13
"FBgn0033391"	108.78	129.20	135.22	118.62	124.30	113.87	25.40	18.42	20.73	89.25	77.10	92.83	92.12	114.40	118.64
"FBgn0033392"	38.51	43.69	50.70	39.86	47.00	40.99	41.82	34.77	39.63	34.70	33.05	35.94	36.57	34.81	45.29
"FBgn0033395"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033397"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033400"	75.35	76.98	83.01	102.00	96.28	99.52	110.84	109.08	117.43	76.26	76.71	76.63	72.91	69.83	94.98
"FBgn0033401"	20.89	24.64	23.80	28.86	27.73	31.96	2.89	2.28	3.22	16.91	15.78	19.37	16.92	21.58	23.54
"FBgn0033402"	18.45	23.85	30.64	25.38	26.89	26.72	27.90	17.54	25.65	15.87	13.68	15.35	18.27	13.82	27.93
"FBgn0033403"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033404"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033405"	0.01	0.01	0.00	0.00	0.00	0.00	0.05	0.00	0.02	0.03	0.01	0.01	0.02	0.06	0.05
"FBgn0033408"	0.12	0.00	0.00	0.00	0.29	0.21	0.26	0.58	0.25	0.21	0.10	0.00	0.21	0.00	0.10
"FBgn0033412"	0.00	0.00	0.00	0.05	0.00	0.00	0.17	0.05	0.11	0.13	0.00	0.04	0.00	0.00	0.04
"FBgn0033413"	103.62	99.75	110.03	112.43	110.27	106.26	25.05	19.24	21.68	104.95	89.90	101.10	75.89	86.34	90.93
"FBgn0033421"	37.59	39.84	42.12	53.26	53.68	53.83	29.03	27.77	24.33	39.51	37.40	37.34	37.81	37.25	39.44
"FBgn0033422"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033423"	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
"FBgn0033426"	19.69	20.55	21.66	24.05	23.79	21.95	23.36	19.76	22.62	20.53	17.88	22.60	21.52	21.76	26.30
"FBgn0033427"	14.22	15.57	15.36	17.50	20.67	18.31	25.20	21.49	22.75	16.30	13.62	17.54	17.40	12.27	20.32
"FBgn0033428"	53.62	51.85	54.50	63.04	60.74	66.49	12.48	10.00	12.76	42.86	49.81	52.91	54.49	58.22	47.68
"FBgn0033429"	35.87	35.27	30.52	27.80	32.04	36.25	31.30	34.06	37.39	39.94	46.48	44.24	39.32	40.42	30.07
"FBgn0033431"	5.82	5.50	6.45	8.77	9.17	10.25	0.32	0.52	0.56	5.12	4.41	5.12	5.93	8.02	6.76
"FBgn0033434"	57.75	60.99	60.01	67.11	65.32	62.86	85.66	84.05	80.42	53.60	58.96	60.14	52.73	45.86	67.13
"FBgn0033437"	0.00	0.00	0.00	0.00	0.00	0.11	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033438"	0.02	0.00	0.02	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.07	0.00	0.00	0.02	0.00
"FBgn0033439"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033440"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033442"	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00
"FBgn0033443"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033446"	0.00	0.15	0.00	0.34	0.06	0.21	0.00	0.00	0.00	0.10	0.17	0.00	0.09	0.05	0.00
"FBgn0033447"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033448"	0.04	0.00	0.05	0.07	0.10	0.00	0.08	0.08	0.04	0.03	0.04	0.19	0.00	0.04	0.03
"FBgn0033449"	15.08	16.19	12.96	18.91	19.89	17.09	0.59	0.32	0.28	12.80	10.82	12.06	14.22	21.57	19.47
"FBgn0033450"	28.81	27.33	27.47	25.98	25.72	26.74	37.05	33.33	32.54	20.82	27.27	26.34	25.80	21.03	27.16
"FBgn0033451"	36.68	32.77	33.33	18.17	17.04	18.40	6.92	7.24	6.05	37.89	32.38	30.93	33.71	37.60	34.36
"FBgn0033453"	99.52	108.49	105.39	134.93	131.91	131.89	148.69	125.89	135.13	106.06	90.70	84.72	87.77	73.05	121.33
"FBgn0033454"	15.97	19.97	22.61	37.21	33.78	34.88	0.79	0.60	1.37	11.73	12.05	12.10	5.11	8.39	9.94
"FBgn0033457"	60.25	50.73	46.95	71.06	64.79	70.30	4.90	4.42	4.66	56.03	48.85	48.39	54.94	77.18	55.28
"FBgn0033458"	58.39	72.88	70.56	28.74	33.63	31.29	36.27	24.75	32.87	62.23	47.49	47.04	66.19	72.79	85.21
"FBgn0033459"	25.16	23.21	22.78	36.27	35.46	33.42	22.34	21.35	21.26	22.22	20.70	24.63	30.96	33.39	32.82
"FBgn0033460"	20.15	33.51	44.01	23.22	24.04	20.56	13.23	7.53	12.44	11.82	10.82	13.70	14.13	18.05	32.20
"FBgn0033461"	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033463"	27.14	35.54	44.06	33.22	35.75	33.14	46.99	37.02	43.39	21.26	21.44	22.51	21.14	21.01	37.19
"FBgn0033464"	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033465"	53.09	61.82	68.58	72.99	70.78	72.66	48.98	34.87	48.99	37.21	48.96	54.96	47.83	55.92	71.48
"FBgn0033467"	132.04	114.90	94.71	105.83	115.16	98.09	131.26	177.60	151.28	139.36	124.85	132.91	164.45	173.06	143.42
"FBgn0033468"	65.56	64.33	72.78	77.00	85.09	82.32	17.48	17.18	19.08	56.27	56.40	59.27	57.06	62.46	60.53
"FBgn0033469"	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0033471"	63.34	60.94	67.23	69.99	71.32	70.91	71.48	79.23	76.86	67.56	62.86	62.41	53.62	55.98	59.79
"FBgn0033473"	98.66	97.97	101.96	111.08	121.57	109.77	109.92	109.70	103.43	111.59	88.73	96.89	96.87	98.13	112.94
"FBgn0033474"	75.39	86.08	83.89	84.98	88.45	86.33	14.60	9.41	12.67	59.97	57.07	71.25	67.31	78.84	81.80
"FBgn0033475"	190.12	175.82	174.23	196.30	200.07	190.99	229.00	244.14	230.42	189.60	184.96	203.55	177.18	170.34	220.13
"FBgn0033476"	32.72	39.52	38.51	52.18	51.85	52.35	1.04	0.46	1.10	23.62	19.20	23.80	22.49	30.77	31.82
"FBgn0033479"	8.40	9.25	12.12	6.87	6.27	5.87	9.95	6.39	9.23	6.23	5.76	7.73	7.32	5.93	11.68
"FBgn0033480"	183.51	172.35	147.80	159.74	151.63	171.57	190.78	241.00	197.92	220.90	233.43	226.11	215.03	209.59	138.60
"FBgn0033481"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00
